name,scientific_name,photo_url,description,group_name,baby_name,top_speed,life_span,weight,height,length,habitat,predators,prey,fun_fact,animal_type,diet,parks
Moose,Alces alces,https://images.pexels.com/photos/76972/moose-moose-rack-male-bull-76972.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Moose are the largest members of the deer family, known for their large size, long legs, and broad antlers. They are commonly found in North America, Europe, and Asia.",herd (rarely as they are solitary),calf,35 mph,15 years,1200 lbs,6.5 ft,10 ft,"Forests, wetlands, lakesides","gray wolves, mountain lions, black bears, coyotes",none,Moose are excellent swimmers and can dive underwater to feed on aquatic plants.,mammal,Herbivore,"Rocky Mountain National Park, Yellowstone National Park"
Black Bear,Ursus americanus,https://images.pexels.com/photos/23914453/pexels-photo-23914453.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Shy, omnivorous bear that avoids humans but loves berries and nuts.",sloth,cub,30 mph,25 years,300 lbs,3 ft at shoulders,6 ft,"Forests, Mountain Areas",mountain lions,"ants, termites, rainbow trout, pika, yellow-bellied marmots, cottontail rabbits, bighorn sheep, mule deer, yellow-bellied marmots, coyotes, mountain goats, honeybees, bumblebees",Black bears can climb trees with ease.,mammal,Omnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Elk,Cervus canadensis,https://images.pexels.com/photos/29483733/pexels-photo-29483733.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Large members of the deer family, commonly seen grazing in the meadows of RMNP.",gang or heard,calf,45 mph,10 years,700 lbs,4.5 ft,8 ft,"Forests, meadows","mountain lions, black bears, gray wolves",none,Male elk are known for their bugling calls during the mating season.,mammal,Herbivore,"Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Bighorn Sheep,Ovis canadensis,https://images.pexels.com/photos/12792487/pexels-photo-12792487.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Famous for their massive curved horns, often spotted on rugged mountain slopes.",herd or band,lamb,30 mph,15 years,200 lbs,3 ft,5 ft,"Rocky cliffs, mountain meadows","mountain lions, coyotes, golden eagles, black bears, gray wolves",none,"Their horns can weigh up to 30 pounds, about the weight of a small child.",mammal,Herbivore,"Rocky Mountain National Park, Yellowstone National Park"
Mule Deer,Odocoileus hemionus,https://images.pexels.com/photos/51390/elk-wildlife-nature-animal-51390.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Named for their large, mule-like ears, often seen at dawn or dusk.",herd,fawn,35 mph,9 years,200 lbs,3.5 ft,6 ft,"Open woodlands, shrublands","mountain lions, coyotes, black bears, bobcats, golden eagles, gray wolves",none,They bound with a unique hopping motion called stotting.,mammal,Herbivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Yellow-Bellied Marmot,Marmota flaviventris,https://images.pexels.com/photos/12766489/pexels-photo-12766489.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A large ground squirrel often called the 'whistle pig' for its loud alarm calls.,colony,pup,10 mph,15 years,12 lbs,1 ft,2 ft,"Alpine meadows, rocky outcrops","coyotes, red foxes, golden eagles, bobcats, black bears",none,They hibernate for up to 8 months of the year.,mammal,Herbivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park"
Coyote,Canis latrans,https://images.pexels.com/photos/15707992/pexels-photo-15707992.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A versatile canine known for its intelligence and adaptability.,"band, pack, or rout",pup,43 mph,10 years,30 lbs,2 ft,4.5 ft,"Grasslands, forests, mountains","mountain lions, gray wolves, black bears","bighorn sheep, mule deer, yellow-bellied marmots, cottontail rabbits, abert’s squirrels, pine squirrels, chipmunks, pikas, grasshoppers, bats, beavers, wyoming ground squirrel, turkey, porcupines, bobcats, mountain goats, red fox, Black-billed Magpie, Steller's Jays, Prairie Rattlesnakes","Coyotes communicate using a variety of howls, yips, and barks.",mammal,Omnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Beaver,Castor canadensis,https://images.pexels.com/photos/12399354/pexels-photo-12399354.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A master architect of the animal kingdom, known for building dams and lodges.",colony or family,kit,6 mph,12 years,60 lbs,1.5 ft,3 ft,"Streams, rivers, wetlands","mountain lions, gray wolves, black bears, coyotes, great-horned owls, golden eagles",none,Their teeth never stop growing and are self-sharpening.,mammal,Herbivore,"Rocky Mountain National Park, Yosemite National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Bat,Chiroptera (Various species),https://images.pexels.com/photos/2587639/pexels-photo-2587639.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"The only mammals capable of sustained flight, with diverse species in RMNP.","cauldron (in flight), colony, or cloud",pup,60 mph,20 years,0.5 lbs,1.2 inches,2.4 inches,"Caves, forests, rock crevices","great-horned owls, coyotes, red-tailed hawks, peregrine falcons, raccoons, bobcats, red fox","mosquitoes, snowberry clearwing moth",Bats use echolocation to navigate and hunt in the dark.,mammal,Insectivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Mountain Lion,Puma concolor,https://images.pexels.com/photos/29070042/pexels-photo-29070042.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A stealthy predator also known as a cougar or puma.,Pride (rarely as they are solitary),kitten or cub,50 mph,12 years,140 lbs,2.5 ft,8 ft,"Mountain forests, deserts",none,"bighorn sheep, mule deer, beavers, elk, coyotes, raccoons, cottontail rabbit, turkey, porcupines, wyoming ground squirrels, pine squirrels, abert’s squirrels, bobcats, mountain goats, red fox",Mountain lions can leap as far as 40 feet in a single bound.,mammal,Carnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park"
